Condition,Talker,Target,Trial,current_stimulus,response_response,response_time_response,subject_nr,time_Audio1,time_Audio10,time_Audio11,time_Audio12,time_Audio13,time_Audio14,time_Audio15,time_Audio16,time_Audio2,time_Audio3,time_Audio4,time_Audio5,time_Audio6,time_Audio7,time_Audio8,time_Audio9,time_response,title
Blocked,Male,done,24,M_reek.wav,NA,NA,101,967275.0755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mapping
Blocked,Male,done,24,M_done.wav,None,717.9356693,101,967275.0755,NA,NA,NA,NA,NA,NA,NA,968041.5685,NA,NA,NA,NA,NA,NA,NA,967290.0147,Mapping
Blocked,Male,done,24,M_knife.wav,None,722.5924216,101,967275.0755,NA,NA,NA,NA,NA,NA,NA,968041.5685,968808.0761,NA,NA,NA,NA,NA,NA,968051.4385,Mapping
Blocked,Male,done,24,M_done.wav,None,722.8187358,101,967275.0755,NA,NA,NA,NA,NA,NA,NA,968041.5685,968808.0761,969558.0401,NA,NA,NA,NA,NA,968817.2783,Mapping
Blocked,Male,done,24,M_romp.wav,space,533.8313274,101,967275.0755,NA,NA,NA,NA,NA,NA,NA,968041.5685,968808.0761,969558.0401,970324.4794,NA,NA,NA,NA,969567.7101,Mapping
Blocked,Male,done,24,M_ball.wav,space,671.4309079,101,967275.0755,NA,NA,NA,NA,NA,NA,NA,968041.5685,968808.0761,969558.0401,970324.4794,971091.1619,NA,NA,NA,970334.1283,Mapping
Blocked,Male,done,24,M_done.wav,None,734.0438524,101,967275.0755,NA,NA,NA,NA,NA,NA,NA,968041.5685,968808.0761,969558.0401,970324.4794,971091.1619,971858.0841,NA,NA,971101.2459,Mapping
Blocked,Male,done,24,M_cling.wav,space,409.7864764,101,967275.0755,NA,NA,NA,NA,NA,NA,NA,968041.5685,968808.0761,969558.0401,970324.4794,971091.1619,971858.0841,972624.6998,NA,971867.6993,Mapping
Blocked,Male,done,24,M_greet.wav,None,730.4503434,101,967275.0755,NA,NA,NA,NA,NA,NA,NA,968041.5685,968808.0761,969558.0401,970324.4794,971091.1619,971858.0841,972624.6998,973391.5178,972634.3024,Mapping
Blocked,Male,done,24,M_gnash.wav,space,260.3434347,101,967275.0755,974158.1373,NA,NA,NA,NA,NA,NA,968041.5685,968808.0761,969558.0401,970324.4794,971091.1619,971858.0841,972624.6998,973391.5178,973401.1399,Mapping
Blocked,Male,done,24,M_jaw.wav,space,333.5476928,101,967275.0755,974158.1373,974925.0956,NA,NA,NA,NA,NA,968041.5685,968808.0761,969558.0401,970324.4794,971091.1619,971858.0841,972624.6998,973391.5178,974167.939,Mapping
Blocked,Male,done,24,M_romp.wav,None,728.7239256,101,967275.0755,974158.1373,974925.0956,975691.5784,NA,NA,NA,NA,968041.5685,968808.0761,969558.0401,970324.4794,971091.1619,971858.0841,972624.6998,973391.5178,974934.5216,Mapping
Blocked,Male,done,24,M_done.wav,None,726.1117293,101,967275.0755,974158.1373,974925.0956,975691.5784,976458.7878,NA,NA,NA,968041.5685,968808.0761,969558.0401,970324.4794,971091.1619,971858.0841,972624.6998,973391.5178,975700.8545,Mapping
Blocked,Male,done,24,M_reek.wav,space,464.8559273,101,967275.0755,974158.1373,974925.0956,975691.5784,976458.7878,977208.0967,NA,NA,968041.5685,968808.0761,969558.0401,970324.4794,971091.1619,971858.0841,972624.6998,973391.5178,976468.5218,Mapping
Blocked,Male,done,24,M_ball.wav,None,735.2879615,101,967275.0755,974158.1373,974925.0956,975691.5784,976458.7878,977208.0967,977975.0189,NA,968041.5685,968808.0761,969558.0401,970324.4794,971091.1619,971858.0841,972624.6998,973391.5178,977217.8758,Mapping
Blocked,Male,done,24,M_greet.wav,None,731.9015979,101,967275.0755,974158.1373,974925.0956,975691.5784,976458.7878,977208.0967,977975.0189,978741.4705,968041.5685,968808.0761,969558.0401,970324.4794,971091.1619,971858.0841,972624.6998,973391.5178,977984.547,Mapping
Blocked,Male,cave,7,M_park.wav,None,728.5548084,101,981958.6788,974158.1373,974925.0956,975691.5784,976458.7878,977208.0967,977975.0189,978741.4705,968041.5685,968808.0761,969558.0401,970324.4794,971091.1619,971858.0841,972624.6998,973391.5178,978751.0239,Mapping
Blocked,Male,cave,7,M_cave.wav,None,722.0699206,101,981958.6788,974158.1373,974925.0956,975691.5784,976458.7878,977208.0967,977975.0189,978741.4705,982725.2603,968808.0761,969558.0401,970324.4794,971091.1619,971858.0841,972624.6998,973391.5178,981968.4855,Mapping
Blocked,Male,cave,7,M_reek.wav,space,406.1020708,101,981958.6788,974158.1373,974925.0956,975691.5784,976458.7878,977208.0967,977975.0189,978741.4705,982725.2603,983475.2308,969558.0401,970324.4794,971091.1619,971858.0841,972624.6998,973391.5178,982735.1804,Mapping
Blocked,Male,cave,7,M_cave.wav,None,735.2743579,101,981958.6788,974158.1373,974925.0956,975691.5784,976458.7878,977208.0967,977975.0189,978741.4705,982725.2603,983475.2308,984241.8642,970324.4794,971091.1619,971858.0841,972624.6998,973391.5178,983484.5014,Mapping
Blocked,Male,cave,7,M_jaw.wav,space,298.1437608,101,981958.6788,974158.1373,974925.0956,975691.5784,976458.7878,977208.0967,977975.0189,978741.4705,982725.2603,983475.2308,984241.8642,985007.8301,971091.1619,971858.0841,972624.6998,973391.5178,984251.0531,Mapping
Blocked,Male,cave,7,M_cave.wav,None,729.4152347,101,981958.6788,974158.1373,974925.0956,975691.5784,976458.7878,977208.0967,977975.0189,978741.4705,982725.2603,983475.2308,984241.8642,985007.8301,985774.4397,971858.0841,972624.6998,973391.5178,985017.1461,Mapping
Blocked,Male,cave,7,M_park.wav,space,333.9279746,101,981958.6788,974158.1373,974925.0956,975691.5784,976458.7878,977208.0967,977975.0189,978741.4705,982725.2603,983475.2308,984241.8642,985007.8301,985774.4397,986541.6682,972624.6998,973391.5178,985783.2845,Mapping
Blocked,Male,cave,7,M_tile.wav,None,721.7514731,101,981958.6788,974158.1373,974925.0956,975691.5784,976458.7878,977208.0967,977975.0189,978741.4705,982725.2603,983475.2308,984241.8642,985007.8301,985774.4397,986541.6682,987308.5357,973391.5178,986551.1774,Mapping
Blocked,Male,cave,7,M_lash.wav,None,721.1458047,101,981958.6788,974158.1373,974925.0956,975691.5784,976458.7878,977208.0967,977975.0189,978741.4705,982725.2603,983475.2308,984241.8642,985007.8301,985774.4397,986541.6682,987308.5357,988075.2463,987318.3151,Mapping
Blocked,Male,cave,7,M_cling.wav,None,720.0377314,101,981958.6788,988824.3837,974925.0956,975691.5784,976458.7878,977208.0967,977975.0189,978741.4705,982725.2603,983475.2308,984241.8642,985007.8301,985774.4397,986541.6682,987308.5357,988075.2463,988085.646,Mapping
