Condition,Talker,Target,Trial,current_stimulus,response_response,response_time_response,subject_nr,time_Audio1,time_Audio10,time_Audio11,time_Audio12,time_Audio13,time_Audio14,time_Audio15,time_Audio16,time_Audio2,time_Audio3,time_Audio4,time_Audio5,time_Audio6,time_Audio7,time_Audio8,time_Audio9,time_response
Mixed,both,tile,30,F_lash.wav,NA,NA,3321,121821.1396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mixed,both,tile,30,F_tile.wav,space,0.03431784,3321,121821.1396,NA,NA,NA,NA,NA,NA,NA,122570.5271,NA,NA,NA,NA,NA,NA,NA,121834.8942
Mixed,both,tile,30,F_jolt.wav,None,735.9371174,3321,121821.1396,NA,NA,NA,NA,NA,NA,NA,122570.5271,123337.1348,NA,NA,NA,NA,NA,NA,122580.1002
Mixed,both,tile,30,M_dime.wav,None,733.5404357,3321,121821.1396,NA,NA,NA,NA,NA,NA,NA,122570.5271,123337.1348,124103.8658,NA,NA,NA,NA,NA,123346.6504
Mixed,both,tile,30,F_jaw.wav,None,731.067389,3321,121821.1396,NA,NA,NA,NA,NA,NA,NA,122570.5271,123337.1348,124103.8658,124870.3631,NA,NA,NA,NA,124113.3255
Mixed,both,tile,30,F_lash.wav,None,728.859919,3321,121821.1396,NA,NA,NA,NA,NA,NA,NA,122570.5271,123337.1348,124103.8658,124870.3631,125637.0972,NA,NA,NA,124879.5095
Mixed,both,tile,30,M_tile.wav,None,726.741799,3321,121821.1396,NA,NA,NA,NA,NA,NA,NA,122570.5271,123337.1348,124103.8658,124870.3631,125637.0972,126404.1871,NA,NA,125646.4888
Mixed,both,tile,30,M_park.wav,space,501.1649507,3321,121821.1396,NA,NA,NA,NA,NA,NA,NA,122570.5271,123337.1348,124103.8658,124870.3631,125637.0972,126404.1871,127170.8198,NA,126414.3236
Mixed,both,tile,30,F_park.wav,None,720.0417874,3321,121821.1396,NA,NA,NA,NA,NA,NA,NA,122570.5271,123337.1348,124103.8658,124870.3631,125637.0972,126404.1871,127170.8198,127920.264,127181.3934
Mixed,both,tile,30,F_cling.wav,None,736.4698164,3321,121821.1396,128687.2473,NA,NA,NA,NA,NA,NA,122570.5271,123337.1348,124103.8658,124870.3631,125637.0972,126404.1871,127170.8198,127920.264,127929.1789
Mixed,both,tile,30,M_tile.wav,None,733.3104135,3321,121821.1396,128687.2473,129453.909,NA,NA,NA,NA,NA,122570.5271,123337.1348,124103.8658,124870.3631,125637.0972,126404.1871,127170.8198,127920.264,128696.6553
Mixed,both,tile,30,M_jaw.wav,space,660.6657903,3321,121821.1396,128687.2473,129453.909,130220.6125,NA,NA,NA,NA,122570.5271,123337.1348,124103.8658,124870.3631,125637.0972,126404.1871,127170.8198,127920.264,129462.7367
Mixed,both,tile,30,M_bluff.wav,None,727.9673468,3321,121821.1396,128687.2473,129453.909,130220.6125,130987.401,NA,NA,NA,122570.5271,123337.1348,124103.8658,124870.3631,125637.0972,126404.1871,127170.8198,127920.264,130230.3619
Mixed,both,tile,30,F_tile.wav,None,726.2888658,3321,121821.1396,128687.2473,129453.909,130220.6125,130987.401,131754.4078,NA,NA,122570.5271,123337.1348,124103.8658,124870.3631,125637.0972,126404.1871,127170.8198,127920.264,130996.3802
