Condition,Talker,Target,Trial,current_stimulus,response_response,response_time_response,subject_nr,time_Audio1,time_Audio10,time_Audio11,time_Audio12,time_Audio13,time_Audio14,time_Audio15,time_Audio16,time_Audio2,time_Audio3,time_Audio4,time_Audio5,time_Audio6,time_Audio7,time_Audio8,time_Audio9,time_response,title
Blocked,Female,tile,17,F_cling.wav,NA,NA,3421,41140.31137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mapping
Blocked,Female,tile,17,F_park.wav,None,718.4899515,3421,41140.31137,NA,NA,NA,NA,NA,NA,NA,41907.82911,NA,NA,NA,NA,NA,NA,NA,41155.16563,Mapping
Blocked,Female,tile,17,F_park.wav,None,720.2203628,3421,41140.31137,NA,NA,NA,NA,NA,NA,NA,41907.82911,42657.9871,NA,NA,NA,NA,NA,NA,41919.34529,Mapping
Blocked,Female,tile,17,F_tile.wav,None,734.9738386,3421,41140.31137,NA,NA,NA,NA,NA,NA,NA,41907.82911,42657.9871,43425.12271,NA,NA,NA,NA,NA,42667.15577,Mapping
Blocked,Female,tile,17,F_romp.wav,space,540.1769429,3421,41140.31137,NA,NA,NA,NA,NA,NA,NA,41907.82911,42657.9871,43425.12271,44192.45186,NA,NA,NA,NA,43434.41783,Mapping
Blocked,Female,tile,17,F_tile.wav,None,730.7357686,3421,41140.31137,NA,NA,NA,NA,NA,NA,NA,41907.82911,42657.9871,43425.12271,44192.45186,44959.72938,NA,NA,NA,44203.04178,Mapping
Blocked,Female,tile,17,F_cad.wav,space,541.1758628,3421,41140.31137,NA,NA,NA,NA,NA,NA,NA,41907.82911,42657.9871,43425.12271,44192.45186,44959.72938,45726.92621,NA,NA,44969.39272,Mapping
Blocked,Female,tile,17,F_reek.wav,None,725.5173307,3421,41140.31137,NA,NA,NA,NA,NA,NA,NA,41907.82911,42657.9871,43425.12271,44192.45186,44959.72938,45726.92621,46494.1524,NA,45736.80967,Mapping
Blocked,Female,tile,17,F_greet.wav,None,724.920637,3421,41140.31137,NA,NA,NA,NA,NA,NA,NA,41907.82911,42657.9871,43425.12271,44192.45186,44959.72938,45726.92621,46494.1524,47262.07485,46503.36714,Mapping
Blocked,Female,tile,17,F_cad.wav,None,722.2627234,3421,41140.31137,48011.91625,NA,NA,NA,NA,NA,NA,41907.82911,42657.9871,43425.12271,44192.45186,44959.72938,45726.92621,46494.1524,47262.07485,47271.99851,Mapping
Blocked,Female,tile,17,F_knife.wav,None,735.754177,3421,41140.31137,48011.91625,48779.44357,NA,NA,NA,NA,NA,41907.82911,42657.9871,43425.12271,44192.45186,44959.72938,45726.92621,46494.1524,47262.07485,48021.30257,Mapping
Blocked,Female,tile,17,F_tile.wav,None,733.8404302,3421,41140.31137,48011.91625,48779.44357,49547.01851,NA,NA,NA,NA,41907.82911,42657.9871,43425.12271,44192.45186,44959.72938,45726.92621,46494.1524,47262.07485,48789.21203,Mapping
Blocked,Female,tile,17,F_dime.wav,space,432.6268239,3421,41140.31137,48011.91625,48779.44357,49547.01851,50313.8295,NA,NA,NA,41907.82911,42657.9871,43425.12271,44192.45186,44959.72938,45726.92621,46494.1524,47262.07485,49557.74632,Mapping
Blocked,Female,tile,17,F_cling.wav,None,728.0305531,3421,41140.31137,48011.91625,48779.44357,49547.01851,50313.8295,51081.31601,NA,NA,41907.82911,42657.9871,43425.12271,44192.45186,44959.72938,45726.92621,46494.1524,47262.07485,50323.28508,Mapping
Blocked,Female,tile,17,F_tile.wav,None,723.3138932,3421,41140.31137,48011.91625,48779.44357,49547.01851,50313.8295,51081.31601,51832.0877,NA,41907.82911,42657.9871,43425.12271,44192.45186,44959.72938,45726.92621,46494.1524,47262.07485,51090.96637,Mapping
Blocked,Female,tile,17,F_reek.wav,space,700.2558671,3421,41140.31137,48011.91625,48779.44357,49547.01851,50313.8295,51081.31601,51832.0877,52598.89188,41907.82911,42657.9871,43425.12271,44192.45186,44959.72938,45726.92621,46494.1524,47262.07485,51841.9891,Mapping
Blocked,Female,cave,11,F_cling.wav,None,730.4714313,3421,55767.78239,48011.91625,48779.44357,49547.01851,50313.8295,51081.31601,51832.0877,52598.89188,41907.82911,42657.9871,43425.12271,44192.45186,44959.72938,45726.92621,46494.1524,47262.07485,52608.84368,Mapping
Blocked,Female,cave,11,F_cave.wav,None,735.198603,3421,55767.78239,48011.91625,48779.44357,49547.01851,50313.8295,51081.31601,51832.0877,52598.89188,56535.16286,42657.9871,43425.12271,44192.45186,44959.72938,45726.92621,46494.1524,47262.07485,55776.89078,Mapping
Blocked,Female,cave,11,F_reek.wav,space,397.2929912,3421,55767.78239,48011.91625,48779.44357,49547.01851,50313.8295,51081.31601,51832.0877,52598.89188,56535.16286,57302.40607,43425.12271,44192.45186,44959.72938,45726.92621,46494.1524,47262.07485,56544.81044,Mapping
Blocked,Female,cave,11,F_gnash.wav,None,729.0353477,3421,55767.78239,48011.91625,48779.44357,49547.01851,50313.8295,51081.31601,51832.0877,52598.89188,56535.16286,57302.40607,58070.05366,44192.45186,44959.72938,45726.92621,46494.1524,47262.07485,57312.18102,Mapping
Blocked,Female,cave,11,F_cave.wav,None,727.5556717,3421,55767.78239,48011.91625,48779.44357,49547.01851,50313.8295,51081.31601,51832.0877,52598.89188,56535.16286,57302.40607,58070.05366,58837.01861,44959.72938,45726.92621,46494.1524,47262.07485,58079.69536,Mapping
Blocked,Female,cave,11,F_romp.wav,space,423.3323196,3421,55767.78239,48011.91625,48779.44357,49547.01851,50313.8295,51081.31601,51832.0877,52598.89188,56535.16286,57302.40607,58070.05366,58837.01861,59587.45175,45726.92621,46494.1524,47262.07485,58846.69772,Mapping
Blocked,Female,cave,11,F_greet.wav,None,735.5748601,3421,55767.78239,48011.91625,48779.44357,49547.01851,50313.8295,51081.31601,51832.0877,52598.89188,56535.16286,57302.40607,58070.05366,58837.01861,59587.45175,60354.56418,46494.1524,47262.07485,59597.12066,Mapping
Blocked,Female,cave,11,F_bluff.wav,None,731.2084865,3421,55767.78239,48011.91625,48779.44357,49547.01851,50313.8295,51081.31601,51832.0877,52598.89188,56535.16286,57302.40607,58070.05366,58837.01861,59587.45175,60354.56418,61122.06646,47262.07485,60364.18702,Mapping
Blocked,Female,cave,11,F_cave.wav,None,729.9523391,3421,55767.78239,48011.91625,48779.44357,49547.01851,50313.8295,51081.31601,51832.0877,52598.89188,56535.16286,57302.40607,58070.05366,58837.01861,59587.45175,60354.56418,61122.06646,61889.04131,61131.57213,Mapping
Blocked,Female,cave,11,F_reek.wav,space,354.4457685,3421,55767.78239,62656.10736,48779.44357,49547.01851,50313.8295,51081.31601,51832.0877,52598.89188,56535.16286,57302.40607,58070.05366,58837.01861,59587.45175,60354.56418,61122.06646,61889.04131,61899.47324,Mapping
Blocked,Female,cave,11,F_dime.wav,None,721.0646989,3421,55767.78239,62656.10736,63406.94458,49547.01851,50313.8295,51081.31601,51832.0877,52598.89188,56535.16286,57302.40607,58070.05366,58837.01861,59587.45175,60354.56418,61122.06646,61889.04131,62665.5011,Mapping
Blocked,Female,cave,11,F_cave.wav,None,732.5363606,3421,55767.78239,62656.10736,63406.94458,64173.87645,50313.8295,51081.31601,51832.0877,52598.89188,56535.16286,57302.40607,58070.05366,58837.01861,59587.45175,60354.56418,61122.06646,61889.04131,63416.5195,Mapping
