"Condition","Talker","Target","Trial","current_stimulus","response_response","response_time_response","subject_nr","time_Audio1","time_Audio10","time_Audio11","time_Audio12","time_Audio13","time_Audio14","time_Audio15","time_Audio16","time_Audio2","time_Audio3","time_Audio4","time_Audio5","time_Audio6","time_Audio7","time_Audio8","time_Audio9","time_response","title"
"Blocked","Male","tile","17","M_depth.wav","NA","NA","413","143154.382076","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mapping"
"Blocked","Male","tile","17","M_cling.wav","None","719.184009258","413","143154.382076","NA","NA","NA","NA","NA","NA","NA","143921.833488","NA","NA","NA","NA","NA","NA","NA","143165.863011","Mapping"
"Blocked","Male","tile","17","M_park.wav","None","724.072646288","413","143154.382076","NA","NA","NA","NA","NA","NA","NA","143921.833488","144671.77685","NA","NA","NA","NA","NA","NA","143925.79067","Mapping"
"Blocked","Male","tile","17","M_tile.wav","None","739.683834086","413","143154.382076","NA","NA","NA","NA","NA","NA","NA","143921.833488","144671.77685","145438.593972","NA","NA","NA","NA","NA","144675.320586","Mapping"
"Blocked","Male","tile","17","M_park.wav","space","499.03969982","413","143154.382076","NA","NA","NA","NA","NA","NA","NA","143921.833488","144671.77685","145438.593972","146205.739807","NA","NA","NA","NA","145441.272957","Mapping"
"Blocked","Male","tile","17","M_tile.wav","None","736.595008722","413","143154.382076","NA","NA","NA","NA","NA","NA","NA","143921.833488","144671.77685","145438.593972","146205.739807","146973.00613","NA","NA","NA","146208.393853","Mapping"
"Blocked","Male","tile","17","M_romp.wav","space","357.532136704","413","143154.382076","NA","NA","NA","NA","NA","NA","NA","143921.833488","144671.77685","145438.593972","146205.739807","146973.00613","147740.231289","NA","NA","146975.797491","Mapping"
"Blocked","Male","tile","17","M_tile.wav","None","732.225282336","413","143154.382076","NA","NA","NA","NA","NA","NA","NA","143921.833488","144671.77685","145438.593972","146205.739807","146973.00613","147740.231289","148507.723866","NA","147742.869711","Mapping"
"Blocked","Male","tile","17","M_jolt.wav","space","468.792948344","413","143154.382076","NA","NA","NA","NA","NA","NA","NA","143921.833488","144671.77685","145438.593972","146205.739807","146973.00613","147740.231289","148507.723866","149275.021438","148510.544072","Mapping"
"Blocked","Male","tile","17","M_greet.wav","None","727.212250978","413","143154.382076","150025.276988","NA","NA","NA","NA","NA","NA","143921.833488","144671.77685","145438.593972","146205.739807","146973.00613","147740.231289","148507.723866","149275.021438","149277.895128","Mapping"
"Blocked","Male","tile","17","M_romp.wav","None","742.048528211","413","143154.382076","150025.276988","150792.474203","NA","NA","NA","NA","NA","143921.833488","144671.77685","145438.593972","146205.739807","146973.00613","147740.231289","148507.723866","149275.021438","150028.091485","Mapping"
"Blocked","Male","tile","17","M_tile.wav","None","739.887552334","413","143154.382076","150025.276988","150792.474203","151559.713184","NA","NA","NA","NA","143921.833488","144671.77685","145438.593972","146205.739807","146973.00613","147740.231289","148507.723866","149275.021438","150795.39086","Mapping"
"Blocked","Male","tile","17","M_dime.wav","space","385.577649404","413","143154.382076","150025.276988","150792.474203","151559.713184","152326.911902","NA","NA","NA","143921.833488","144671.77685","145438.593972","146205.739807","146973.00613","147740.231289","148507.723866","149275.021438","151562.750028","Mapping"
"Blocked","Male","tile","17","M_cling.wav","None","735.226971576","413","143154.382076","150025.276988","150792.474203","151559.713184","152326.911902","153094.089887","NA","NA","143921.833488","144671.77685","145438.593972","146205.739807","146973.00613","147740.231289","148507.723866","149275.021438","152329.72099","Mapping"
"Blocked","Male","tile","17","M_lash.wav","None","732.893526267","413","143154.382076","150025.276988","150792.474203","151559.713184","152326.911902","153094.089887","153861.46468","NA","143921.833488","144671.77685","145438.593972","146205.739807","146973.00613","147740.231289","148507.723866","149275.021438","153096.783595","Mapping"
"Blocked","Male","tile","17","M_knife.wav","None","730.090447298","413","143154.382076","150025.276988","150792.474203","151559.713184","152326.911902","153094.089887","153861.46468","154628.872825","143921.833488","144671.77685","145438.593972","146205.739807","146973.00613","147740.231289","148507.723866","149275.021438","153864.762332","Mapping"
"Blocked","Male","ball","5","M_romp.wav","None","728.137997179","413","157781.78861","150025.276988","150792.474203","151559.713184","152326.911902","153094.089887","153861.46468","154628.872825","143921.833488","144671.77685","145438.593972","146205.739807","146973.00613","147740.231289","148507.723866","149275.021438","154631.786477","Mapping"
"Blocked","Male","ball","5","M_ball.wav","None","726.269678491","413","157781.78861","150025.276988","150792.474203","151559.713184","152326.911902","153094.089887","153861.46468","154628.872825","158531.799577","144671.77685","145438.593972","146205.739807","146973.00613","147740.231289","148507.723866","149275.021438","157785.188121","Mapping"
"Blocked","Male","ball","5","M_lash.wav","space","610.361206276","413","157781.78861","150025.276988","150792.474203","151559.713184","152326.911902","153094.089887","153861.46468","154628.872825","158531.799577","159298.801788","145438.593972","146205.739807","146973.00613","147740.231289","148507.723866","149275.021438","158534.964722","Mapping"
"Blocked","Male","ball","5","M_ball.wav","None","739.467796591","413","157781.78861","150025.276988","150792.474203","151559.713184","152326.911902","153094.089887","153861.46468","154628.872825","158531.799577","159298.801788","160066.079529","146205.739807","146973.00613","147740.231289","148507.723866","149275.021438","159302.021017","Mapping"
"Blocked","Male","ball","5","M_cling.wav","space","661.995068696","413","157781.78861","150025.276988","150792.474203","151559.713184","152326.911902","153094.089887","153861.46468","154628.872825","158531.799577","159298.801788","160066.079529","160833.403243","146973.00613","147740.231289","148507.723866","149275.021438","160069.30597","Mapping"
"Blocked","Male","ball","5","M_jaw.wav","None","734.378145538","413","157781.78861","150025.276988","150792.474203","151559.713184","152326.911902","153094.089887","153861.46468","154628.872825","158531.799577","159298.801788","160066.079529","160833.403243","161600.287669","147740.231289","148507.723866","149275.021438","160836.869758","Mapping"
"Blocked","Male","ball","5","M_ball.wav","None","733.174164679","413","157781.78861","150025.276988","150792.474203","151559.713184","152326.911902","153094.089887","153861.46468","154628.872825","158531.799577","159298.801788","160066.079529","160833.403243","161600.287669","162367.758913","148507.723866","149275.021438","161603.045978","Mapping"
"Blocked","Male","ball","5","M_cling.wav","space","432.628452167","413","157781.78861","150025.276988","150792.474203","151559.713184","152326.911902","153094.089887","153861.46468","154628.872825","158531.799577","159298.801788","160066.079529","160833.403243","161600.287669","162367.758913","163134.960636","149275.021438","162370.719438","Mapping"
"Blocked","Male","ball","5","M_lash.wav","None","728.467311634","413","157781.78861","150025.276988","150792.474203","151559.713184","152326.911902","153094.089887","153861.46468","154628.872825","158531.799577","159298.801788","160066.079529","160833.403243","161600.287669","162367.758913","163134.960636","163902.249194","163137.653442","Mapping"
"Blocked","Male","ball","5","M_knife.wav","None","726.138974307","413","157781.78861","164652.492123","150792.474203","151559.713184","152326.911902","153094.089887","153861.46468","154628.872825","158531.799577","159298.801788","160066.079529","160833.403243","161600.287669","162367.758913","163134.960636","163902.249194","163905.209418","Mapping"
"Blocked","Male","ball","5","M_dime.wav","None","740.979157639","413","157781.78861","164652.492123","165419.680325","151559.713184","152326.911902","153094.089887","153861.46468","154628.872825","158531.799577","159298.801788","160066.079529","160833.403243","161600.287669","162367.758913","163134.960636","163902.249194","164655.452648","Mapping"
"Blocked","Male","ball","5","M_depth.wav","None","738.973223972","413","157781.78861","164652.492123","165419.680325","166186.924714","152326.911902","153094.089887","153861.46468","154628.872825","158531.799577","159298.801788","160066.079529","160833.403243","161600.287669","162367.758913","163134.960636","163902.249194","165422.580155","Mapping"
"Blocked","Male","ball","5","M_dime.wav","None","736.579684783","413","157781.78861","164652.492123","165419.680325","166186.924714","166954.174511","153094.089887","153861.46468","154628.872825","158531.799577","159298.801788","160066.079529","160833.403243","161600.287669","162367.758913","163134.960636","163902.249194","166189.802309","Mapping"
