"Condition","Talker","Target","Trial","current_stimulus","response_response","response_time_response","subject_nr","time_Audio1","time_Audio10","time_Audio11","time_Audio12","time_Audio13","time_Audio14","time_Audio15","time_Audio16","time_Audio2","time_Audio3","time_Audio4","time_Audio5","time_Audio6","time_Audio7","time_Audio8","time_Audio9","time_response"
"Mixed","Female","cave","23","F_lash.wav","NA","NA","423","34683.2582927","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Mixed","Female","cave","23","F_cad.wav","None","739.823642929","423","34683.2582927","NA","NA","NA","NA","NA","NA","NA","35449.8566397","NA","NA","NA","NA","NA","NA","NA","34690.0826615"
"Mixed","Female","cave","23","F_cave.wav","None","738.40085233","423","34683.2582927","NA","NA","NA","NA","NA","NA","NA","35449.8566397","36216.5841454","NA","NA","NA","NA","NA","NA","35455.3035111"
"Mixed","Female","cave","23","M_greet.wav","space","530.084029095","423","34683.2582927","NA","NA","NA","NA","NA","NA","NA","35449.8566397","36216.5841454","36983.1395369","NA","NA","NA","NA","NA","36221.6452941"
"Mixed","Female","cave","23","M_jaw.wav","None","736.175349517","423","34683.2582927","NA","NA","NA","NA","NA","NA","NA","35449.8566397","36216.5841454","36983.1395369","37749.7370073","NA","NA","NA","NA","36985.1604898"
"Mixed","Female","cave","23","F_cave.wav","None","730.093204619","423","34683.2582927","NA","NA","NA","NA","NA","NA","NA","35449.8566397","36216.5841454","36983.1395369","37749.7370073","38516.6316594","NA","NA","NA","37754.9337434"
"Mixed","Female","cave","23","M_reek.wav","space","453.260934361","423","34683.2582927","NA","NA","NA","NA","NA","NA","NA","35449.8566397","36216.5841454","36983.1395369","37749.7370073","38516.6316594","39266.3493806","NA","NA","38522.3318804"
"Mixed","Female","cave","23","F_dime.wav","None","740.920906986","423","34683.2582927","NA","NA","NA","NA","NA","NA","NA","35449.8566397","36216.5841454","36983.1395369","37749.7370073","38516.6316594","39266.3493806","40032.9871765","NA","39271.4073149"
"Mixed","Female","cave","23","F_cave.wav","None","738.105423845","423","34683.2582927","NA","NA","NA","NA","NA","NA","NA","35449.8566397","36216.5841454","36983.1395369","37749.7370073","38516.6316594","39266.3493806","40032.9871765","40799.5975043","40038.088943"
"Mixed","Female","cave","23","M_priest.wav","space","522.492598216","423","34683.2582927","41566.2224427","NA","NA","NA","NA","NA","NA","35449.8566397","36216.5841454","36983.1395369","37749.7370073","38516.6316594","39266.3493806","40032.9871765","40799.5975043","40804.8526832"
