Condition,Talker,Target,Trial,current_stimulus,response_response,response_time_response,subject_nr,time_Audio1,time_Audio10,time_Audio11,time_Audio12,time_Audio13,time_Audio14,time_Audio15,time_Audio16,time_Audio2,time_Audio3,time_Audio4,time_Audio5,time_Audio6,time_Audio7,time_Audio8,time_Audio9,time_response
Mixed,Male,cave,13,F_gnash.wav,NA,NA,4390,197222.1374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mixed,Male,cave,13,F_priest.wav,None,740.4317405,4390,197222.1374,NA,NA,NA,NA,NA,NA,NA,197988.746,NA,NA,NA,NA,NA,NA,NA,197229.2677
Mixed,Male,cave,13,F_depth.wav,None,740.8124955,4390,197222.1374,NA,NA,NA,NA,NA,NA,NA,197988.746,198755.3355,NA,NA,NA,NA,NA,NA,197993.8021
Mixed,Male,cave,13,F_jaw.wav,None,738.8660572,4390,197222.1374,NA,NA,NA,NA,NA,NA,NA,197988.746,198755.3355,199522.0099,NA,NA,NA,NA,NA,198760.8493
Mixed,Male,cave,13,F_gnash.wav,None,737.4146296,4390,197222.1374,NA,NA,NA,NA,NA,NA,NA,197988.746,198755.3355,199522.0099,200288.5965,NA,NA,NA,NA,199527.2084
Mixed,Male,cave,13,M_depth.wav,None,736.0526196,4390,197222.1374,NA,NA,NA,NA,NA,NA,NA,197988.746,198755.3355,199522.0099,200288.5965,201055.2393,NA,NA,NA,200293.7184
Mixed,Male,cave,13,M_cave.wav,None,734.1117333,4390,197222.1374,NA,NA,NA,NA,NA,NA,NA,197988.746,198755.3355,199522.0099,200288.5965,201055.2393,201821.8633,NA,NA,201060.5906
Mixed,Male,cave,13,F_lash.wav,None,732.5726415,4390,197222.1374,NA,NA,NA,NA,NA,NA,NA,197988.746,198755.3355,199522.0099,200288.5965,201055.2393,201821.8633,202588.5032,NA,201826.9856
Mixed,Male,cave,13,F_dime.wav,space,97.73686001,4390,197222.1374,NA,NA,NA,NA,NA,NA,NA,197988.746,198755.3355,199522.0099,200288.5965,201055.2393,201821.8633,202588.5032,203355.1369,202593.6476
Mixed,Male,cave,13,M_cave.wav,None,728.9848364,4390,197222.1374,204122.0801,NA,NA,NA,NA,NA,NA,197988.746,198755.3355,199522.0099,200288.5965,201055.2393,201821.8633,202588.5032,203355.1369,203360.4648
Mixed,Male,cave,13,M_cad.wav,None,726.9998258,4390,197222.1374,204122.0801,204871.7291,NA,NA,NA,NA,NA,197988.746,198755.3355,199522.0099,200288.5965,201055.2393,201821.8633,202588.5032,203355.1369,204127.3595
Mixed,Male,cave,13,M_bluff.wav,space,38.308688,4390,197222.1374,204122.0801,204871.7291,205638.3871,NA,NA,NA,NA,197988.746,198755.3355,199522.0099,200288.5965,201055.2393,201821.8633,202588.5032,203355.1369,204876.9396
Mixed,Male,cave,13,M_cave.wav,None,740.8992831,4390,197222.1374,204122.0801,204871.7291,205638.3871,206404.9857,NA,NA,NA,197988.746,198755.3355,199522.0099,200288.5965,201055.2393,201821.8633,202588.5032,203355.1369,205643.492
Mixed,Male,cave,13,F_romp.wav,space,688.9450719,4390,197222.1374,204122.0801,204871.7291,205638.3871,206404.9857,207171.6413,NA,NA,197988.746,198755.3355,199522.0099,200288.5965,201055.2393,201821.8633,202588.5032,203355.1369,206410.0492
Mixed,Male,cave,13,M_cave.wav,None,737.5753474,4390,197222.1374,204122.0801,204871.7291,205638.3871,206404.9857,207171.6413,207938.259,NA,197988.746,198755.3355,199522.0099,200288.5965,201055.2393,201821.8633,202588.5032,203355.1369,207176.7954
Mixed,Male,cave,13,M_jolt.wav,space,699.3294855,4390,197222.1374,204122.0801,204871.7291,205638.3871,206404.9857,207171.6413,207938.259,208704.9464,197988.746,198755.3355,199522.0099,200288.5965,201055.2393,201821.8633,202588.5032,203355.1369,207943.5676
Mixed,Male,ball,1,F_lash.wav,None,734.1368637,4390,211838.0403,204122.0801,204871.7291,205638.3871,206404.9857,207171.6413,207938.259,208704.9464,197988.746,198755.3355,199522.0099,200288.5965,201055.2393,201821.8633,202588.5032,203355.1369,208710.0362
Mixed,Male,ball,1,F_reek.wav,None,742.5800988,4390,211838.0403,204122.0801,204871.7291,205638.3871,206404.9857,207171.6413,207938.259,208704.9464,212604.7012,198755.3355,199522.0099,200288.5965,201055.2393,201821.8633,202588.5032,203355.1369,211843.1956
Mixed,Male,ball,1,M_ball.wav,None,740.7701245,4390,211838.0403,204122.0801,204871.7291,205638.3871,206404.9857,207171.6413,207938.259,208704.9464,212604.7012,213371.3209,199522.0099,200288.5965,201055.2393,201821.8633,202588.5032,203355.1369,212610.0522
Mixed,Male,ball,1,F_cling.wav,space,561.9710194,4390,211838.0403,204122.0801,204871.7291,205638.3871,206404.9857,207171.6413,207938.259,208704.9464,212604.7012,213371.3209,214137.9151,200288.5965,201055.2393,201821.8633,202588.5032,203355.1369,213376.4837
Mixed,Male,ball,1,F_greet.wav,None,737.8403856,4390,211838.0403,204122.0801,204871.7291,205638.3871,206404.9857,207171.6413,207938.259,208704.9464,212604.7012,213371.3209,214137.9151,214904.6213,201055.2393,201821.8633,202588.5032,203355.1369,214142.9532
Mixed,Male,ball,1,M_ball.wav,None,736.433959,4390,211838.0403,204122.0801,204871.7291,205638.3871,206404.9857,207171.6413,207938.259,208704.9464,212604.7012,213371.3209,214137.9151,214904.6213,215671.215,201821.8633,202588.5032,203355.1369,214909.5486
Mixed,Male,ball,1,F_dime.wav,space,494.1180218,4390,211838.0403,204122.0801,204871.7291,205638.3871,206404.9857,207171.6413,207938.259,208704.9464,212604.7012,213371.3209,214137.9151,214904.6213,215671.215,216437.8443,202588.5032,203355.1369,215676.2259
Mixed,Male,ball,1,M_ball.wav,None,732.6588447,4390,211838.0403,204122.0801,204871.7291,205638.3871,206404.9857,207171.6413,207938.259,208704.9464,212604.7012,213371.3209,214137.9151,214904.6213,215671.215,216437.8443,217204.4748,203355.1369,216443.243
Mixed,Male,ball,1,M_priest.wav,space,440.6074781,4390,211838.0403,204122.0801,204871.7291,205638.3871,206404.9857,207171.6413,207938.259,208704.9464,212604.7012,213371.3209,214137.9151,214904.6213,215671.215,216437.8443,217204.4748,217971.169,217209.5862
Mixed,Male,ball,1,F_lash.wav,None,729.588843,4390,211838.0403,218738.1621,204871.7291,205638.3871,206404.9857,207171.6413,207938.259,208704.9464,212604.7012,213371.3209,214137.9151,214904.6213,215671.215,216437.8443,217204.4748,217971.169,217976.2252
Mixed,Male,ball,1,M_ball.wav,None,727.3136638,4390,211838.0403,218738.1621,219487.6791,205638.3871,206404.9857,207171.6413,207938.259,208704.9464,212604.7012,213371.3209,214137.9151,214904.6213,215671.215,216437.8443,217204.4748,217971.169,218743.6861
Mixed,Male,ball,1,F_jaw.wav,space,597.3876641,4390,211838.0403,218738.1621,219487.6791,220254.368,206404.9857,207171.6413,207938.259,208704.9464,212604.7012,213371.3209,214137.9151,214904.6213,215671.215,216437.8443,217204.4748,217971.169,219492.6339
Mixed,Male,ball,1,F_jolt.wav,None,741.318026,4390,211838.0403,218738.1621,219487.6791,220254.368,221020.9558,207171.6413,207938.259,208704.9464,212604.7012,213371.3209,214137.9151,214904.6213,215671.215,216437.8443,217204.4748,217971.169,220259.3617
Mixed,Male,ball,1,M_dime.wav,None,739.684549,4390,211838.0403,218738.1621,219487.6791,220254.368,221020.9558,221787.6234,207938.259,208704.9464,212604.7012,213371.3209,214137.9151,214904.6213,215671.215,216437.8443,217204.4748,217971.169,221026.0488
Mixed,Male,ball,1,M_cling.wav,None,738.0098698,4390,211838.0403,218738.1621,219487.6791,220254.368,221020.9558,221787.6234,222554.2235,208704.9464,212604.7012,213371.3209,214137.9151,214904.6213,215671.215,216437.8443,217204.4748,217971.169,221792.8702
Mixed,Male,ball,1,M_knife.wav,None,737.0815055,4390,211838.0403,218738.1621,219487.6791,220254.368,221020.9558,221787.6234,222554.2235,223320.864,212604.7012,213371.3209,214137.9151,214904.6213,215671.215,216437.8443,217204.4748,217971.169,222558.9814
Mixed,Male,done,37,F_lash.wav,None,735.1108134,4390,226420.7428,218738.1621,219487.6791,220254.368,221020.9558,221787.6234,222554.2235,223320.864,212604.7012,213371.3209,214137.9151,214904.6213,215671.215,216437.8443,217204.4748,217971.169,223326.1624
Mixed,Male,done,37,M_lash.wav,None,742.680036,4390,226420.7428,218738.1621,219487.6791,220254.368,221020.9558,221787.6234,222554.2235,223320.864,227187.3329,213371.3209,214137.9151,214904.6213,215671.215,216437.8443,217204.4748,217971.169,226425.6885
Mixed,Male,done,37,F_jaw.wav,None,741.1421131,4390,226420.7428,218738.1621,219487.6791,220254.368,221020.9558,221787.6234,222554.2235,223320.864,227187.3329,227953.9397,214137.9151,214904.6213,215671.215,216437.8443,217204.4748,217971.169,227192.3435
