"Trial","Condition","Talker","Target","AuditoryProbe1","AuditoryProbe2","AuditoryProbe3","AuditoryProbe4","AuditoryProbe5","AuditoryProbe6","AuditoryProbe7","AuditoryProbe8","AuditoryProbe9","AuditoryProbe10","AuditoryProbe11","AuditoryProbe12","AuditoryProbe13","AuditoryProbe14","AuditoryProbe15","AuditoryProbe16"
1,"Blocked","Male","ball","M_greet.wav","M_ball.wav","M_lash.wav","M_romp.wav","M_ball.wav","M_priest.wav","M_bluff.wav","M_ball.wav","M_cad.wav","M_jolt.wav","M_bluff.wav","M_greet.wav","M_cling.wav","M_cad.wav","M_ball.wav","M_depth.wav"
2,"Blocked","Male","ball","M_depth.wav","M_depth.wav","M_ball.wav","M_jaw.wav","M_ball.wav","M_lash.wav","M_depth.wav","M_reek.wav","M_gnash.wav","M_lash.wav","M_depth.wav","M_ball.wav","M_park.wav","M_ball.wav","M_bluff.wav","M_lash.wav"
3,"Blocked","Male","ball","M_lash.wav","M_lash.wav","M_gnash.wav","M_gnash.wav","M_ball.wav","M_jaw.wav","M_priest.wav","M_dime.wav","M_ball.wav","M_greet.wav","M_depth.wav","M_priest.wav","M_ball.wav","M_cling.wav","M_ball.wav","M_knife.wav"
4,"Blocked","Male","ball","M_jaw.wav","M_jaw.wav","M_ball.wav","M_reek.wav","M_cling.wav","M_dime.wav","M_ball.wav","M_bluff.wav","M_ball.wav","M_park.wav","M_romp.wav","M_jolt.wav","M_gnash.wav","M_priest.wav","M_ball.wav","M_jolt.wav"
5,"Blocked","Male","ball","M_priest.wav","M_ball.wav","M_priest.wav","M_jolt.wav","M_ball.wav","M_romp.wav","M_park.wav","M_jaw.wav","M_priest.wav","M_dime.wav","M_ball.wav","M_greet.wav","M_jolt.wav","M_ball.wav","M_bluff.wav","M_jolt.wav"
6,"Blocked","Male","ball","M_greet.wav","M_romp.wav","M_ball.wav","M_cad.wav","M_ball.wav","M_bluff.wav","M_greet.wav","M_ball.wav","M_knife.wav","M_knife.wav","M_cling.wav","M_lash.wav","M_dime.wav","M_romp.wav","M_ball.wav","M_cad.wav"
7,"Blocked","Male","cave","M_jaw.wav","M_romp.wav","M_gnash.wav","M_bluff.wav","M_cave.wav","M_jaw.wav","M_cave.wav","M_reek.wav","M_knife.wav","M_cave.wav","M_romp.wav","M_knife.wav","M_cave.wav","M_park.wav","M_reek.wav","M_jolt.wav"
8,"Blocked","Male","cave","M_greet.wav","M_cave.wav","M_knife.wav","M_cave.wav","M_jaw.wav","M_jaw.wav","M_cave.wav","M_cad.wav","M_cave.wav","M_jaw.wav","M_cling.wav","M_knife.wav","M_gnash.wav","M_depth.wav","M_lash.wav","M_cling.wav"
9,"Blocked","Male","cave","M_priest.wav","M_knife.wav","M_cave.wav","M_priest.wav","M_cave.wav","M_gnash.wav","M_bluff.wav","M_greet.wav","M_jaw.wav","M_cave.wav","M_depth.wav","M_jaw.wav","M_cave.wav","M_romp.wav","M_jaw.wav","M_romp.wav"
10,"Blocked","Male","cave","M_park.wav","M_romp.wav","M_jaw.wav","M_gnash.wav","M_priest.wav","M_cave.wav","M_dime.wav","M_cave.wav","M_cad.wav","M_jolt.wav","M_dime.wav","M_cave.wav","M_cling.wav","M_cave.wav","M_jaw.wav","M_greet.wav"
11,"Blocked","Male","cave","M_gnash.wav","M_cave.wav","M_bluff.wav","M_cad.wav","M_knife.wav","M_cave.wav","M_greet.wav","M_lash.wav","M_gnash.wav","M_priest.wav","M_cave.wav","M_reek.wav","M_knife.wav","M_cad.wav","M_cave.wav","M_cling.wav"
12,"Blocked","Male","cave","M_knife.wav","M_greet.wav","M_cave.wav","M_depth.wav","M_bluff.wav","M_depth.wav","M_priest.wav","M_cave.wav","M_romp.wav","M_reek.wav","M_lash.wav","M_cave.wav","M_cling.wav","M_cave.wav","M_greet.wav","M_gnash.wav"
