"Trial","Condition","Talker","Target","AuditoryProbe1","AuditoryProbe2","AuditoryProbe3","AuditoryProbe4","AuditoryProbe5","AuditoryProbe6","AuditoryProbe7","AuditoryProbe8","AuditoryProbe9","AuditoryProbe10","AuditoryProbe11","AuditoryProbe12","AuditoryProbe13","AuditoryProbe14","AuditoryProbe15","AuditoryProbe16"
1,"Blocked","Female","ball","F_dime.wav","F_knife.wav","F_greet.wav","F_park.wav","F_ball.wav","F_lash.wav","F_dime.wav","F_ball.wav","F_bluff.wav","F_ball.wav","F_depth.wav","F_cling.wav","F_ball.wav","F_jaw.wav","F_lash.wav","F_knife.wav"
2,"Blocked","Female","ball","F_knife.wav","F_bluff.wav","F_ball.wav","F_jolt.wav","F_lash.wav","F_cling.wav","F_bluff.wav","F_ball.wav","F_cad.wav","F_knife.wav","F_priest.wav","F_ball.wav","F_cling.wav","F_ball.wav","F_bluff.wav","F_park.wav"
3,"Blocked","Female","ball","F_park.wav","F_ball.wav","F_jolt.wav","F_ball.wav","F_cling.wav","F_ball.wav","F_jolt.wav","F_gnash.wav","F_ball.wav","F_gnash.wav","F_lash.wav","F_priest.wav","F_cling.wav","F_gnash.wav","F_reek.wav","F_cad.wav"
4,"Blocked","Female","ball","F_bluff.wav","F_cad.wav","F_greet.wav","F_knife.wav","F_ball.wav","F_romp.wav","F_jaw.wav","F_ball.wav","F_reek.wav","F_park.wav","F_ball.wav","F_reek.wav","F_ball.wav","F_dime.wav","F_jolt.wav","F_gnash.wav"
5,"Blocked","Female","ball","F_gnash.wav","F_greet.wav","F_ball.wav","F_romp.wav","F_cad.wav","F_dime.wav","F_ball.wav","F_bluff.wav","F_jolt.wav","F_dime.wav","F_dime.wav","F_bluff.wav","F_ball.wav","F_park.wav","F_ball.wav","F_depth.wav"
6,"Blocked","Female","ball","F_lash.wav","F_ball.wav","F_dime.wav","F_gnash.wav","F_bluff.wav","F_knife.wav","F_ball.wav","F_cad.wav","F_ball.wav","F_priest.wav","F_knife.wav","F_romp.wav","F_romp.wav","F_romp.wav","F_ball.wav","F_knife.wav"
7,"Blocked","Female","cave","F_cad.wav","F_jaw.wav","F_cave.wav","F_priest.wav","F_dime.wav","F_lash.wav","F_gnash.wav","F_jolt.wav","F_cad.wav","F_cave.wav","F_romp.wav","F_cave.wav","F_cad.wav","F_cave.wav","F_reek.wav","F_bluff.wav"
8,"Blocked","Female","cave","F_gnash.wav","F_cave.wav","F_bluff.wav","F_gnash.wav","F_cave.wav","F_cad.wav","F_greet.wav","F_cave.wav","F_romp.wav","F_cave.wav","F_bluff.wav","F_gnash.wav","F_dime.wav","F_jaw.wav","F_bluff.wav","F_jaw.wav"
9,"Blocked","Female","cave","F_cling.wav","F_cad.wav","F_cave.wav","F_park.wav","F_cave.wav","F_park.wav","F_lash.wav","F_depth.wav","F_cave.wav","F_cad.wav","F_cave.wav","F_cling.wav","F_dime.wav","F_lash.wav","F_jaw.wav","F_dime.wav"
10,"Blocked","Female","cave","F_park.wav","F_dime.wav","F_dime.wav","F_cave.wav","F_depth.wav","F_knife.wav","F_cave.wav","F_cling.wav","F_romp.wav","F_cave.wav","F_romp.wav","F_greet.wav","F_jolt.wav","F_cling.wav","F_cave.wav","F_park.wav"
11,"Blocked","Female","cave","F_romp.wav","F_cling.wav","F_knife.wav","F_cling.wav","F_cave.wav","F_priest.wav","F_reek.wav","F_cave.wav","F_bluff.wav","F_romp.wav","F_jaw.wav","F_cave.wav","F_cad.wav","F_cave.wav","F_reek.wav","F_dime.wav"
12,"Blocked","Female","cave","F_gnash.wav","F_cave.wav","F_romp.wav","F_cave.wav","F_jolt.wav","F_cad.wav","F_greet.wav","F_cad.wav","F_romp.wav","F_cave.wav","F_lash.wav","F_cave.wav","F_cling.wav","F_jaw.wav","F_romp.wav","F_greet.wav"
